id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,brake_type,brake_pad_wear,brake_fluid_level,ABS,traction_control,average_speed,braking_habits,following_distance,brake_response_time,outcome
569520,3,0,0-9y,high school,upper class,0.629027314,1,after 2015,0,1,10238,12000.0,sedan,0,0,0,Drum,50%,Medium,1,0,90,Normal,3 car length,0.6,0
750365,0,1,0-9y,none,poverty,0.357757117,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,Drum,10%,Medium,0,0,70,Normal,3 car length,0.4,1
199901,0,0,0-9y,high school,working class,0.493145785,1,before 2015,0,0,10238,11000.0,sedan,0,0,0,Drum,50%,Low,0,0,40,Normal,3 car length,0.6,0
478866,0,1,0-9y,university,working class,0.206012851,1,before 2015,0,1,32765,11000.0,sedan,0,0,0,Drum,50%,Medium,0,0,60,Conservative,4 car length,0.4,0
731664,1,1,10-19y,none,working class,0.388365888,1,before 2015,0,0,32765,12000.0,sedan,2,0,1,Drum,50%,High,0,0,70,Aggressive,3 car length,0.5,1
877557,2,0,20-29y,high school,upper class,0.619127373,1,after 2015,0,1,10238,13000.0,sedan,3,0,3,Drum,10%,Low,1,1,60,Aggressive,2 car length,0.6,0
930134,3,1,30y+,high school,upper class,0.49294355,0,after 2015,1,1,10238,13000.0,sedan,7,0,3,Disc,30%,Low,1,1,90,Normal,2 car length,0.4,0
461006,1,0,0-9y,university,working class,0.468689297,0,after 2015,0,1,10238,14000.0,sedan,0,0,0,Disc,90%,Medium,1,0,55,Normal,1 car length,0.6,1
68366,2,0,20-29y,university,working class,0.521814936,0,before 2015,1,0,10238,13000.0,sedan,0,0,0,Drum,90%,High,0,0,40,Normal,3 car length,0.7,0
445911,2,0,0-9y,high school,upper class,0.561531032,1,before 2015,0,1,32765,11000.0,sedan,0,0,0,Drum,30%,Low,0,0,55,Aggressive,2 car length,0.7,1
275820,3,1,30y+,high school,upper class,0.620361264,1,after 2015,1,1,10238,10000.0,sedan,6,2,7,Disc,30%,Low,1,0,85,Normal,2 car length,0.9,0
521399,3,0,30y+,high school,upper class,0.729830882,1,after 2015,1,0,32765,12000.0,sedan,4,0,0,Disc,50%,Low,0,1,90,Normal,1 car length,1.0,0
429728,2,1,20-29y,high school,upper class,0.637044744,1,before 2015,1,1,10238,8000.0,sedan,4,1,2,Drum,70%,High,0,0,85,Normal,4 car length,0.5,0
569640,0,0,0-9y,university,upper class,0.591259972,1,before 2015,0,1,10238,,sedan,0,0,0,Drum,10%,Medium,0,0,70,Normal,1 car length,0.5,0
980181,1,1,10-19y,high school,middle class,0.461567963,1,before 2015,1,1,10238,12000.0,sedan,0,2,1,Drum,70%,Low,0,0,70,Normal,1 car length,0.7,0
906223,1,0,0-9y,high school,upper class,0.762797941,0,after 2015,1,0,10238,,sedan,0,0,0,Disc,30%,Medium,0,1,40,Normal,1 car length,0.7,0
517747,3,1,30y+,university,upper class,0.796174846,1,before 2015,1,1,32765,,sedan,10,2,1,Drum,10%,High,1,0,90,Normal,4 car length,1.0,0
24851,0,1,0-9y,none,poverty,,0,before 2015,1,0,32765,12000.0,sedan,0,0,0,Drum,50%,Medium,0,0,70,Normal,3 car length,0.6,1
104086,1,0,0-9y,university,upper class,0.68059428,1,before 2015,0,1,32765,,sedan,0,0,0,Drum,90%,High,0,1,70,Conservative,1 car length,0.5,1
240658,0,0,0-9y,high school,working class,0.417713982,1,before 2015,0,1,10238,18000.0,sedan,0,0,0,Drum,50%,High,0,0,90,Aggressive,4 car length,0.7,1
484399,0,0,0-9y,high school,working class,0.409513531,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,30%,Low,0,0,60,Normal,3 car length,0.4,1
912828,0,1,0-9y,high school,middle class,0.553260053,1,after 2015,1,1,32765,8000.0,sedan,0,0,0,Disc,10%,High,1,0,70,Normal,4 car length,0.6,1
892754,2,1,20-29y,none,poverty,0.330950262,1,before 2015,1,1,10238,13000.0,sedan,3,1,1,Drum,30%,High,0,0,90,Normal,4 car length,0.7,0
217,0,1,0-9y,none,poverty,,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,Drum,90%,Medium,0,0,60,Conservative,1 car length,0.4,0
633896,3,1,30y+,high school,upper class,0.50063066,1,before 2015,1,1,32765,7000.0,sedan,13,2,3,Drum,70%,High,1,0,85,Normal,1 car length,0.9,0
